============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> Carbon(  6 um) ==============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  140  1 .1686154E+07   6000155E-02 -.2699E+03 -.1352E+03   .9999814 -.0060935  .0002487
T  141  1 .1666497E+07   6000177E-02  .6734E+01  .1382E+03   .9999922 -.0030338 -.0025450
T  142  1 .1703438E+07   6000125E-02 -.3198E+03 -.1556E+04   .9989358 -.0124077 -.0444221
T  143  1 .1683985E+07   6000157E-02  .1519E+03  .3159E+03   .9999220  .0121999  .0026562
T  144  1 .1675427E+07   6000062E-02 -.5290E+03  .2021E+03   .9998132 -.0176757  .0078201
T  145  1 .1683741E+07   6000067E-02 -.6160E+03 -.5982E+03   .9996793 -.0165158 -.0191945
T  146  1 .1669483E+07   6000154E-02 -.3648E+03  .9750E+03   .9993286 -.0051278  .0362765
T  147  1 .1680376E+07   6000013E-02 -.1389E+03 -.3716E+02   .9999263  .0023528 -.0119129
T  148  1 .1669701E+07   6000047E-02 -.1783E+03 -.6649E+02   .9998379 -.0180055 -.0002551
T  149  1 .1703881E+07   6000154E-02 -.4517E+03  .4603E+02   .9999040  .0025823  .0136128
T  150  1 .1695896E+07   6000100E-02  .5139E+03 -.1529E+03   .9996723  .0255621  .0013985
T  151  1 .1673234E+07   6000169E-02 -.8914E+02  .5298E+03   .9998978 -.0125335  .0068755
T  152  1 .1691504E+07   6000142E-02 -.5718E+03 -.8440E+03   .9999214 -.0089104 -.0088214
T  153  1 .1696501E+07   6000017E-02 -.4982E+03  .4591E+02   .9998111 -.0194347 -.0001927
T  154  1 .1682453E+07   6000066E-02 -.4070E+01 -.1745E+03   .9999304 -.0020554 -.0116183
